geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06037141700,6037141700,Total,"2006 HW","Los Angeles County","Beverly Hills",80.01,28.29,103.41,72.37,0.00,0.00
1400000US06037141700,6037141700,Total,Vulnerable,"Los Angeles County","Beverly Hills",0.00,0.00,0.00,0.00,0.00,0.00
1400000US06037141700,6037141700,AM,General,"Los Angeles County","Beverly Hills",60.97,11.80,98.16,65.31,0.20,2.33
1400000US06037141700,6037141700,JJA,General,"Los Angeles County","Beverly Hills",65.64,25.34,102.12,70.39,0.03,3.00
1400000US06037141700,6037141700,SO,General,"Los Angeles County","Beverly Hills",61.90,20.30,101.93,69.10,0.27,4.00
1400000US06037261101,6037261101,SO,General,"Los Angeles County","Beverly Hills",74.21,38.16,99.10,74.37,0.07,4.00
1400000US06037261101,6037261101,JJA,General,"Los Angeles County","Beverly Hills",79.82,32.77,96.17,69.88,0.23,2.86
1400000US06037261101,6037261101,AM,General,"Los Angeles County","Beverly Hills",73.27,30.78,84.59,59.48,0.97,2.97
1400000US06037261101,6037261101,Total,Vulnerable,"Los Angeles County","Beverly Hills",88.22,37.83,85.65,62.84,4.80,4.12
1400000US06037261101,6037261101,Total,"2006 HW","Los Angeles County","Beverly Hills",84.08,37.74,95.36,71.68,0.00,0.00
1400000US06037261102,6037261102,SO,General,"Los Angeles County","Beverly Hills",74.21,38.16,99.10,74.37,0.07,4.00
1400000US06037261102,6037261102,JJA,General,"Los Angeles County","Beverly Hills",79.82,32.77,96.17,69.88,0.23,2.86
1400000US06037261102,6037261102,AM,General,"Los Angeles County","Beverly Hills",73.27,30.78,84.59,59.48,0.97,2.97
1400000US06037261102,6037261102,Total,Vulnerable,"Los Angeles County","Beverly Hills",88.22,37.83,85.65,62.84,4.80,4.12
1400000US06037261102,6037261102,Total,"2006 HW","Los Angeles County","Beverly Hills",84.08,37.74,95.36,71.68,0.00,0.00
1400000US06037700600,6037700600,Total,"2006 HW","Los Angeles County","Beverly Hills",84.08,37.74,95.36,71.68,0.00,0.00
1400000US06037700600,6037700600,Total,Vulnerable,"Los Angeles County","Beverly Hills",88.22,37.83,85.65,62.84,4.80,4.12
1400000US06037700600,6037700600,AM,General,"Los Angeles County","Beverly Hills",73.27,30.78,84.59,59.48,0.97,2.97
1400000US06037700600,6037700600,JJA,General,"Los Angeles County","Beverly Hills",79.82,32.77,96.17,69.88,0.23,2.86
1400000US06037700600,6037700600,SO,General,"Los Angeles County","Beverly Hills",74.21,38.16,99.10,74.37,0.07,4.00
1400000US06037700700,6037700700,SO,General,"Los Angeles County","Beverly Hills",74.21,38.16,99.10,74.37,0.07,4.00
1400000US06037700700,6037700700,JJA,General,"Los Angeles County","Beverly Hills",79.82,32.77,96.17,69.88,0.23,2.86
1400000US06037700700,6037700700,AM,General,"Los Angeles County","Beverly Hills",73.27,30.78,84.59,59.48,0.97,2.97
1400000US06037700700,6037700700,Total,Vulnerable,"Los Angeles County","Beverly Hills",88.22,37.83,85.65,62.84,4.80,4.12
1400000US06037700700,6037700700,Total,"2006 HW","Los Angeles County","Beverly Hills",84.08,37.74,95.36,71.68,0.00,0.00
1400000US06037700801,6037700801,Total,"2006 HW","Los Angeles County","Beverly Hills",84.08,37.74,95.36,71.68,0.00,0.00
1400000US06037700801,6037700801,Total,Vulnerable,"Los Angeles County","Beverly Hills",88.22,37.83,85.65,62.84,4.80,4.12
1400000US06037700801,6037700801,AM,General,"Los Angeles County","Beverly Hills",73.27,30.78,84.59,59.48,0.97,2.97
1400000US06037700801,6037700801,JJA,General,"Los Angeles County","Beverly Hills",79.82,32.77,96.17,69.88,0.23,2.86
1400000US06037700801,6037700801,SO,General,"Los Angeles County","Beverly Hills",74.21,38.16,99.10,74.37,0.07,4.00
1400000US06037700802,6037700802,SO,General,"Los Angeles County","Beverly Hills",74.21,38.16,99.10,74.37,0.07,4.00
1400000US06037700802,6037700802,JJA,General,"Los Angeles County","Beverly Hills",79.82,32.77,96.17,69.88,0.23,2.86
1400000US06037700802,6037700802,AM,General,"Los Angeles County","Beverly Hills",73.27,30.78,84.59,59.48,0.97,2.97
1400000US06037700802,6037700802,Total,Vulnerable,"Los Angeles County","Beverly Hills",88.22,37.83,85.65,62.84,4.80,4.12
1400000US06037700802,6037700802,Total,"2006 HW","Los Angeles County","Beverly Hills",84.08,37.74,95.36,71.68,0.00,0.00
1400000US06037700902,6037700902,SO,General,"Los Angeles County","Beverly Hills",74.21,38.16,99.10,74.37,0.07,4.00
1400000US06037700902,6037700902,JJA,General,"Los Angeles County","Beverly Hills",79.82,32.77,96.17,69.88,0.23,2.86
1400000US06037700902,6037700902,AM,General,"Los Angeles County","Beverly Hills",73.27,30.78,84.59,59.48,0.97,2.97
1400000US06037700902,6037700902,Total,Vulnerable,"Los Angeles County","Beverly Hills",88.22,37.83,85.65,62.84,4.80,4.12
1400000US06037700902,6037700902,Total,"2006 HW","Los Angeles County","Beverly Hills",84.08,37.74,95.36,71.68,0.00,0.00
1400000US06037701000,6037701000,Total,"2006 HW","Los Angeles County","Beverly Hills",84.08,37.74,95.36,71.68,0.00,0.00
1400000US06037701000,6037701000,Total,Vulnerable,"Los Angeles County","Beverly Hills",88.22,37.83,85.65,62.84,4.80,4.12
1400000US06037701000,6037701000,AM,General,"Los Angeles County","Beverly Hills",73.27,30.78,84.59,59.48,0.97,2.97
1400000US06037701000,6037701000,JJA,General,"Los Angeles County","Beverly Hills",79.82,32.77,96.17,69.88,0.23,2.86
1400000US06037701000,6037701000,SO,General,"Los Angeles County","Beverly Hills",74.21,38.16,99.10,74.37,0.07,4.00
