geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06037541100,6037541100,Total,"2006 HW","Los Angeles County",Compton,85.65,43.03,94.00,72.38,0.00,0.00
1400000US06037541100,6037541100,Total,Vulnerable,"Los Angeles County",Compton,84.21,37.43,90.32,67.58,2.67,5.26
1400000US06037541100,6037541100,AM,General,"Los Angeles County",Compton,86.97,47.51,80.58,61.72,0.30,3.67
1400000US06037541100,6037541100,JJA,General,"Los Angeles County",Compton,80.88,33.38,91.22,70.63,0.13,4.25
1400000US06037541100,6037541100,SO,General,"Los Angeles County",Compton,81.14,34.00,93.98,70.81,0.23,4.86
1400000US06037541200,6037541200,SO,General,"Los Angeles County",Compton,81.14,34.00,93.98,70.81,0.23,4.86
1400000US06037541200,6037541200,JJA,General,"Los Angeles County",Compton,80.88,33.38,91.22,70.63,0.13,4.25
1400000US06037541200,6037541200,AM,General,"Los Angeles County",Compton,86.97,47.51,80.58,61.72,0.30,3.67
1400000US06037541200,6037541200,Total,Vulnerable,"Los Angeles County",Compton,84.21,37.43,90.32,67.58,2.67,5.26
1400000US06037541200,6037541200,Total,"2006 HW","Los Angeles County",Compton,85.65,43.03,94.00,72.38,0.00,0.00
1400000US06037541300,6037541300,Total,"2006 HW","Los Angeles County",Compton,85.65,43.03,94.00,72.38,0.00,0.00
1400000US06037541300,6037541300,Total,Vulnerable,"Los Angeles County",Compton,84.21,37.43,90.32,67.58,2.67,5.26
1400000US06037541300,6037541300,AM,General,"Los Angeles County",Compton,86.97,47.51,80.58,61.72,0.30,3.67
1400000US06037541300,6037541300,JJA,General,"Los Angeles County",Compton,80.88,33.38,91.22,70.63,0.13,4.25
1400000US06037541300,6037541300,SO,General,"Los Angeles County",Compton,81.14,34.00,93.98,70.81,0.23,4.86
1400000US06037541400,6037541400,SO,General,"Los Angeles County",Compton,81.14,34.00,93.98,70.81,0.23,4.86
1400000US06037541400,6037541400,JJA,General,"Los Angeles County",Compton,80.88,33.38,91.22,70.63,0.13,4.25
1400000US06037541400,6037541400,AM,General,"Los Angeles County",Compton,86.97,47.51,80.58,61.72,0.30,3.67
1400000US06037541400,6037541400,Total,Vulnerable,"Los Angeles County",Compton,84.21,37.43,90.32,67.58,2.67,5.26
1400000US06037541400,6037541400,Total,"2006 HW","Los Angeles County",Compton,85.65,43.03,94.00,72.38,0.00,0.00
1400000US06037541500,6037541500,Total,"2006 HW","Los Angeles County",Compton,85.65,43.03,94.00,72.38,0.00,0.00
1400000US06037541500,6037541500,Total,Vulnerable,"Los Angeles County",Compton,84.21,37.43,90.32,67.58,2.67,5.26
1400000US06037541500,6037541500,AM,General,"Los Angeles County",Compton,86.97,47.51,80.58,61.72,0.30,3.67
1400000US06037541500,6037541500,JJA,General,"Los Angeles County",Compton,80.88,33.38,91.22,70.63,0.13,4.25
1400000US06037541500,6037541500,SO,General,"Los Angeles County",Compton,81.14,34.00,93.98,70.81,0.23,4.86
1400000US06037541603,6037541603,SO,General,"Los Angeles County",Compton,81.14,34.00,93.98,70.81,0.23,4.86
1400000US06037541603,6037541603,JJA,General,"Los Angeles County",Compton,80.88,33.38,91.22,70.63,0.13,4.25
1400000US06037541603,6037541603,AM,General,"Los Angeles County",Compton,86.97,47.51,80.58,61.72,0.30,3.67
